dataset,regime,u,f,s,draw,n_corrupted,restored_frac,n_clean,wrongly_flipped_frac,restored_frac_unmarked,n_unmarked,restored_frac_falsely_marked,n_falsely_marked,restored_frac_inverted_scale,n_inverted_scale
pilot_holdout,full,0.1,0.03,0.03,30,50,0.5,689,0.018867924528301886,0.7692307692307693,26,0.35714285714285715,14,0.0,10
pilot_holdout,full,0.1,0.03,0.03,31,70,0.3,669,0.014947683109118086,0.6086956521739131,23,0.5833333333333334,12,0.0,30
pilot_holdout,full,0.1,0.03,0.03,32,50,0.56,689,0.01741654571843251,0.5769230769230769,26,0.9285714285714286,14,0.0,10
pilot_holdout,full,0.1,0.03,0.03,33,52,0.6153846153846154,687,0.017467248908296942,0.7692307692307693,26,0.8571428571428571,14,0.0,12
pilot_holdout,full,0.1,0.03,0.03,34,63,0.47619047619047616,676,0.014792899408284023,0.6923076923076923,26,0.7857142857142857,14,0.043478260869565216,23
pilot_holdout,full,0.1,0.03,0.03,35,60,0.4166666666666667,679,0.01914580265095729,0.6,25,0.6428571428571429,14,0.05,20
pilot_holdout,full,0.1,0.03,0.03,36,69,0.42028985507246375,670,0.013432835820895522,0.6086956521739131,23,0.8571428571428571,14,0.10344827586206896,29
pilot_holdout,full,0.1,0.03,0.03,37,53,0.5283018867924528,686,0.01749271137026239,0.68,25,0.7857142857142857,14,0.0,13
pilot_holdout,full,0.1,0.03,0.03,38,50,0.56,689,0.01741654571843251,0.76,25,0.6428571428571429,14,0.0,10
pilot_holdout,full,0.1,0.03,0.03,39,65,0.4307692307692308,674,0.017804154302670624,0.68,25,0.6923076923076923,13,0.0,25
pilot_holdout,full,0.1,0.03,0.03,40,50,0.58,689,0.018867924528301886,0.6923076923076923,26,0.75,12,0.0,10
pilot_holdout,full,0.1,0.03,0.03,41,56,0.44642857142857145,683,0.014641288433382138,0.6923076923076923,26,0.5,14,0.0,16
pilot_holdout,full,0.1,0.03,0.03,42,52,0.5192307692307693,687,0.018922852983988356,0.6538461538461539,26,0.7142857142857143,14,0.0,12
pilot_holdout,full,0.1,0.03,0.03,43,63,0.4126984126984127,676,0.019230769230769232,0.6153846153846154,26,0.7142857142857143,14,0.0,23
pilot_holdout,full,0.1,0.03,0.03,44,58,0.4482758620689655,681,0.01908957415565345,0.56,25,0.7857142857142857,14,0.05555555555555555,18
pilot_holdout,full,0.1,0.03,0.03,45,62,0.43548387096774194,677,0.022156573116691284,0.7307692307692307,26,0.5714285714285714,14,0.0,22
pilot_holdout,full,0.1,0.03,0.03,46,57,0.47368421052631576,682,0.017595307917888565,0.76,25,0.5714285714285714,14,0.0,17
pilot_holdout,full,0.1,0.03,0.03,47,51,0.37254901960784315,688,0.01744186046511628,0.52,25,0.42857142857142855,14,0.0,11
pilot_holdout,full,0.1,0.03,0.03,48,71,0.4084507042253521,668,0.011976047904191617,0.64,25,0.7857142857142857,14,0.06451612903225806,31
pilot_holdout,full,0.1,0.03,0.03,49,68,0.5,671,0.01639344262295082,0.8,25,0.7142857142857143,14,0.10714285714285714,28
pilot_holdout,full,0.25,0.03,0.03,0,117,0.42735042735042733,622,0.02090032154340836,0.5645161290322581,62,0.6428571428571429,14,0.07894736842105263,38
pilot_holdout,full,0.25,0.03,0.03,1,102,0.39215686274509803,637,0.01726844583987441,0.5254237288135594,59,0.6666666666666666,12,0.0,23
pilot_holdout,full,0.25,0.03,0.03,2,95,0.4842105263157895,644,0.021739130434782608,0.5714285714285714,63,0.6153846153846154,13,0.0,16
