dataset,regime,u,f,s,draw,variant,pearson_r,mae,sign_error_rate,rho,p_at_5,p_at_10,ndcg_at_10
pilot_holdout,full,0.0,0.03,0.03,23,documented,0.7710222089327824,0.12269338396346123,0.11722141823444283,0.5997954335600943,0.7274336283185839,0.6212389380530974,0.8682159906955275
pilot_holdout,full,0.0,0.03,0.03,23,aligned,0.773700679649926,0.12206098564152523,0.11163944593756461,0.6039409983410359,0.7327433628318585,0.6176991150442479,0.8696585957636369
pilot_holdout,full,0.0,0.03,0.03,23,hyperplane_old,0.5020186008732682,0.17140768898597067,0.25139549307421954,0.4707924582915829,0.6495575221238938,0.5530973451327434,0.8091290205991999
pilot_holdout,full,0.0,0.03,0.03,24,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,24,documented,0.7996700098953768,0.11976784725073761,0.11412032251395493,0.5906610346376228,0.7168141592920354,0.6168141592920355,0.8644358794931584
pilot_holdout,full,0.0,0.03,0.03,24,aligned,0.7987098168278266,0.12002073245637448,0.1149472813727517,0.591063475647084,0.7238938053097345,0.6115044247787611,0.8633625796320865
pilot_holdout,full,0.0,0.03,0.03,24,hyperplane_old,0.525280022460511,0.16912928402993976,0.2466404796361381,0.4718930608906007,0.6477876106194691,0.5539823008849558,0.8058707940063671
pilot_holdout,full,0.0,0.03,0.03,25,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,25,documented,0.7712263550868649,0.12309137256585963,0.1151540210874509,0.5988459601514295,0.7292035398230089,0.6176991150442478,0.8669747385310403
pilot_holdout,full,0.0,0.03,0.03,25,aligned,0.7698448995881451,0.12366783237885226,0.1151540210874509,0.5934207852728114,0.7238938053097345,0.6106194690265488,0.8628564100658913
pilot_holdout,full,0.0,0.03,0.03,25,hyperplane_old,0.5115805682488926,0.17082465297306546,0.25263593136241475,0.47209104217100784,0.6584070796460177,0.5646017699115043,0.8112170140829871
pilot_holdout,full,0.0,0.03,0.03,26,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,26,documented,0.7646689886514461,0.12927982052502918,0.14244366342774448,0.5723389048045666,0.7079646017699115,0.5964601769911504,0.8473735869410559
pilot_holdout,full,0.0,0.03,0.03,26,aligned,0.7691016215761114,0.12818146662938423,0.1412032251395493,0.5756349001747487,0.7132743362831858,0.6061946902654868,0.856923764159
pilot_holdout,full,0.0,0.03,0.03,26,hyperplane_old,0.49411432854090426,0.17367315411251674,0.2563572462270002,0.45919601889514283,0.6424778761061947,0.5486725663716814,0.8034912736098446
pilot_holdout,full,0.0,0.03,0.03,27,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,27,documented,0.7936948928748345,0.1232600818131404,0.11908207566673558,0.5898675651381139,0.7256637168141593,0.604424778761062,0.8594871359206595
pilot_holdout,full,0.0,0.03,0.03,27,aligned,0.8000840276249028,0.1210109975831224,0.11887533595203639,0.60085535542233,0.7238938053097346,0.6150442477876108,0.8667082981856431
pilot_holdout,full,0.0,0.03,0.03,27,hyperplane_old,0.5378107022152429,0.16719766990463672,0.24209220591275585,0.4717163777226857,0.6637168141592921,0.5646017699115043,0.814318843914038
pilot_holdout,full,0.0,0.03,0.03,28,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,28,documented,0.7699291276278547,0.12570326807537138,0.12301013024602026,0.5792432026382313,0.71858407079646,0.6079646017699116,0.8585295522531814
pilot_holdout,full,0.0,0.03,0.03,28,aligned,0.7730909641059859,0.12508090663303423,0.12301013024602026,0.5840952403138945,0.7221238938053097,0.6053097345132744,0.8609331476946237
pilot_holdout,full,0.0,0.03,0.03,28,hyperplane_old,0.5466278375421965,0.16574766976257443,0.23423609675418647,0.47411158804455256,0.6584070796460177,0.5646017699115045,0.8130671991962775
pilot_holdout,full,0.0,0.03,0.03,29,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,29,documented,0.7626317155763452,0.12590132378150268,0.13065949968989043,0.6042211080586775,0.7327433628318585,0.6185840707964603,0.8668451133668518
pilot_holdout,full,0.0,0.03,0.03,29,aligned,0.7618675012838614,0.1261711416248502,0.131279718833988,0.6004400031704124,0.7309734513274336,0.6141592920353983,0.8689827809130135
pilot_holdout,full,0.0,0.03,0.03,29,hyperplane_old,0.5176791384755345,0.1700605329448148,0.25201571221831714,0.47007713169092996,0.6637168141592921,0.5646017699115045,0.8105158385963275
pilot_holdout,full,0.0,0.03,0.03,30,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,30,documented,0.7598636570303513,0.12671322647080127,0.13086623940458963,0.5918964357421687,0.7185840707964603,0.6115044247787611,0.8579547309421435
pilot_holdout,full,0.0,0.03,0.03,30,aligned,0.7526255665283182,0.12685420505901993,0.12693818482530494,0.5964110816521433,0.7256637168141593,0.6106194690265486,0.8624381796814065
pilot_holdout,full,0.0,0.03,0.03,30,hyperplane_old,0.48812419745610613,0.1743597547624704,0.26090551995038247,0.4649624493055341,0.6530973451327434,0.5469026548672566,0.8032798650812606
pilot_holdout,full,0.0,0.03,0.03,31,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,31,documented,0.7755163270717483,0.12386411785833085,0.12259665081662187,0.5973438068533967,0.7238938053097345,0.6150442477876106,0.8677966395381327
pilot_holdout,full,0.0,0.03,0.03,31,aligned,0.7734768188450447,0.12497104665991746,0.12404382881951623,0.5850772897759893,0.727433628318584,0.6123893805309735,0.8665073374740017
pilot_holdout,full,0.0,0.03,0.03,31,hyperplane_old,0.5112443211229908,0.17074604051186915,0.2532561505065123,0.4712894232358724,0.6584070796460177,0.5654867256637168,0.8131672670350697
pilot_holdout,full,0.0,0.03,0.03,32,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,32,documented,0.7703316080434689,0.12112344336757913,0.11432706222865413,0.5891853360469405,0.7238938053097345,0.611504424778761,0.8629711989956217
pilot_holdout,full,0.0,0.03,0.03,32,aligned,0.7702379495454345,0.1218003578693378,0.11639445937564606,0.5848097451968354,0.7238938053097346,0.6106194690265486,0.862940261027318
pilot_holdout,full,0.0,0.03,0.03,32,hyperplane_old,0.5003104087061047,0.17051546678241228,0.24581352077734134,0.4718674315344463,0.6495575221238938,0.55929203539823,0.8063393694127291
pilot_holdout,full,0.0,0.03,0.03,33,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,33,documented,0.7510357673266314,0.12798255727941743,0.12797188339880092,0.5883169143273723,0.7221238938053097,0.6061946902654868,0.8556951025971892
pilot_holdout,full,0.0,0.03,0.03,33,aligned,0.7558684303874863,0.12655599310013746,0.12755840396940252,0.5963494758290028,0.7238938053097346,0.6061946902654869,0.8583251025701341
pilot_holdout,full,0.0,0.03,0.03,33,hyperplane_old,0.5077105637175532,0.17154463896309335,0.25139549307421954,0.4687114831721622,0.6566371681415929,0.5566371681415929,0.8033068935208735
pilot_holdout,full,0.0,0.03,0.03,34,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,34,documented,0.788665101953664,0.1217692853888924,0.11928881538143478,0.5883552339099758,0.720353982300885,0.604424778761062,0.8592383814276016
pilot_holdout,full,0.0,0.03,0.03,34,aligned,0.7911357589983046,0.12081300746208211,0.11722141823444283,0.5906511833452293,0.7185840707964603,0.604424778761062,0.8607410828399782
pilot_holdout,full,0.0,0.03,0.03,34,hyperplane_old,0.5473386956511499,0.16573918336927274,0.23423609675418647,0.47184503703564123,0.6584070796460177,0.563716814159292,0.8149607500005647
pilot_holdout,full,0.0,0.03,0.03,35,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,35,documented,0.7239359922190609,0.13114519970174074,0.13727517056026461,0.5875780145324412,0.7079646017699115,0.6000000000000001,0.858960232116837
pilot_holdout,full,0.0,0.03,0.03,35,aligned,0.7267227870853802,0.13063857114636476,0.13727517056026461,0.5890545132047026,0.7168141592920354,0.604424778761062,0.8620609962654365
pilot_holdout,full,0.0,0.03,0.03,35,hyperplane_old,0.5194244629209205,0.1688869474671786,0.24457308248914617,0.48229624630420903,0.6619469026548673,0.5672566371681417,0.8148617441518368
pilot_holdout,full,0.0,0.03,0.03,36,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,36,documented,0.8066755181997632,0.11916748474767246,0.10977878850527187,0.5993576415800056,0.7221238938053097,0.6123893805309735,0.8625541615015926
pilot_holdout,full,0.0,0.03,0.03,36,aligned,0.8072513844299296,0.1192059291657616,0.11019226793467025,0.5969909591977948,0.7309734513274337,0.6123893805309735,0.8657536025653843
pilot_holdout,full,0.0,0.03,0.03,36,hyperplane_old,0.5354361176211337,0.16759265442223975,0.24457308248914617,0.4651315709661069,0.6513274336283186,0.5557522123893806,0.8075184581116366
pilot_holdout,full,0.0,0.03,0.03,37,plain,0.2325738636684525,0.21208686386230358,0.3630349390117842,0.34470204117850195,0.5663716814159292,0.4646017699115044,0.7450447444646858
pilot_holdout,full,0.0,0.03,0.03,37,documented,0.790915208244539,0.12124286384792692,0.12032251395493074,0.590781715298708,0.7345132743362832,0.6185840707964603,0.8610456067152745
pilot_holdout,full,0.0,0.03,0.03,37,aligned,0.7914075051504779,0.1211880828699134,0.1219764316725243,0.5933095725874654,0.7292035398230089,0.6115044247787611,0.8601142927829575
